100
1;BRASIL;203062512;PORTUGUES;LOCALIZADO NO CONTINENTE AMERICA DO SUL, TEM COMO MOEDA O REAL (BRL).
2;BOLIVIA;12224110;ESPANHOL;LOCALIZADA NO CONTINENTE AMERICA DO SUL, TEM COMO MOEDA O BOLIVIANO (BOB).
3;PERU;34049588;ESPANHOL;LOCALIZADO NO CONTINENTE AMERICA DO SUL, TEM COMO MOEDA O SOL (PEN).
4;COLOMBIA;51874024;ESPANHOL;LOCALIZADA NO CONTINENTE AMERICA DO SUL, TEM COMO MOEDA O PESO COLOMBIANO (COP).
5;VENEZUELA;28301696;ESPANHOL;LOCALIZADA NO CONTINENTE AMERICA DO SUL, TEM COMO MOEDA O BOLIVAR (VES).
6;PANAMA;4408581;ESPANHOL;LOCALIZADO NO CONTINENTE AMERICA CENTRAL, TEM COMO MOEDA O BALBOA (PAB) E O DOLAR DOS ESTADOS UNIDOS (USD).
7;COSTA RICA;5180829;ESPANHOL;LOCALIZADA NO CONTINENTE AMERICA CENTRAL, TEM COMO MOEDA O COLON COSTA-RIQUENHO (CRC).
8;NICARAGUA;6948392;ESPANHOL;LOCALIZADA NO CONTINENTE AMERICA CENTRAL, TEM COMO MOEDA O CORDOBA NICARAGUENSE (NIO).
9;HONDURAS;10432860;ESPANHOL;LOCALIZADO NO CONTINENTE AMERICA CENTRAL, TEM COMO MOEDA A LEMPIRA (HNL).
10;GUATEMALA;17357886;ESPANHOL;LOCALIZADA NO CONTINENTE AMERICA CENTRAL, TEM COMO MOEDA O QUETZAL (GTQ).
11;PARAGUAI;6780744;ESPANHOL;LOCALIZADO NO CONTINENTE AMERICA DO SUL, TEM COMO MOEDA O GUARANI (PYG).
12;ARGENTINA;46234830;ESPANHOL;LOCALIZADA NO CONTINENTE AMERICA DO SUL, TEM COMO MOEDA O PESO ARGENTINO (ARS).
13;CHILE;19603733;ESPANHOL;LOCALIZADO NO CONTINENTE AMERICA DO SUL, TEM COMO MOEDA O PESO CHILENO (CLP).
14;URUGUAI;3422794;ESPANHOL;LOCALIZADO NO CONTINENTE AMERICA DO SUL, TEM COMO MOEDA O PESO URUGUAIO (UYU).
15;EQUADOR;18001000;ESPANHOL;LOCALIZADO NO CONTINENTE AMERICA DO SUL, TEM COMO MOEDA O DOLAR DOS ESTADOS UNIDOS (USD).
16;GUIANA;808726;INGLES;LOCALIZADA NO CONTINENTE AMERICA DO SUL, TEM COMO MOEDA O DOLAR GUIANENSE (GYD).
17;SURINAME;618040;HOLANDES;LOCALIZADO NO CONTINENTE AMERICA DO SUL, TEM COMO MOEDA O DOLAR DO SURINAME (SRD).
18;HAITI;11584996;FRANCES;LOCALIZADO NA AMERICA DO NORTE (CARIBE), TEM COMO MOEDA A GOURDE HAITIANA (HTG).
19;CUBA;11212191;ESPANHOL;LOCALIZADO NA AMERICA DO NORTE (CARIBE), TEM COMO MOEDA O PESO CUBANO (CUP) E O PESO CONVERSIVEL CUBANO (CUC).
20;MEXICO;127504125;ESPANHOL;LOCALIZADO NA AMERICA DO NORTE, TEM COMO MOEDA O PESO MEXICANO (MXN).
21;CANADA;38929902;INGLES;LOCALIZADO NA AMERICA DO NORTE, TEM COMO MOEDA O DOLAR CANADENSE (CAD).
22;AUSTRALIA;25978935;INGLES;LOCALIZADA NA OCEANIA, TEM COMO MOEDA O DOLAR AUSTRALIANO (AUD).
23;INDONESIA;275501339;INDONESIO;LOCALIZADA NA ASIA, TEM COMO MOEDA A RUPIA INDONESIA (IDR).
24;MALASIA;33938221;MALAIO;LOCALIZADA NA ASIA, TEM COMO MOEDA O RINGGIT MALAIO (MYR).
25;TAILANDIA;71697030;TAI;LOCALIZADA NA ASIA, TEM COMO MOEDA O BAHT TAILANDES (THB).
26;CAMBOJA;16767842;KHMER;LOCALIZADO NA ASIA, TEM COMO MOEDA O RIEL CAMBOJANO (KHR).
27;VIETNA;98186856;VIETNAMITA;LOCALIZADO NA ASIA, TEM COMO MOEDA O DONG VIETNAMITA (VND).
28;LAOS;7529475;LAOSIANO;LOCALIZADO NA ASIA, TEM COMO MOEDA O KIP DO LAOS (LAK).
29;MIANMAR;54179306;BIRMANES;LOCALIZADO NA ASIA, TEM COMO MOEDA O KYAT DE MIANMAR (MMK).
30;NEPAL;30547580;NEPALI;LOCALIZADO NA ASIA, TEM COMO MOEDA A RUPIA NEPALESA (NPR).
31;CHINA;1412175000;MANDARIM;LOCALIZADO NA ASIA, TEM COMO MOEDA O RENMINBI (YUAN) CHINES (CNY).
32;PAQUISTAO;235824862;URDU;LOCALIZADO NA ASIA, TEM COMO MOEDA A RUPIA PAQUISTANESA (PKR).
33;IRA;88550570;PERSA;LOCALIZADO NA ASIA, TEM COMO MOEDA O DINAR IRAQUIANO (IQD).
34;IRAQUE;44496122;ARABE;LOCALIZADO NA ASIA, TEM COMO MOEDA O NOVO SHEKEL ISRAELENSE (ILS).
35;ISRAEL;9550600;HEBRAICO;LOCALIZADO NA ASIA, TEM COMO MOEDA A LIBRA EGIPCIA (EGP).
36;EGITO;110990103;ARABE;LOCALIZADA NA AFRICA, TEM COMO MOEDA O NAIRA NIGERIANO (NGN).
37;NIGERIA;218541212;INGLES;LOCALIZADO NA AFRICA, TEM COMO MOEDA O FRANCO CFA DE BENIN (XOF).
38;BENIN;13352864;FRANCES;LOCALIZADO NA AFRICA, TEM COMO MOEDA O CEDI GANES (GHS).
39;GANA;33475870;INGLES;LOCALIZADO NA AFRICA, TEM COMO MOEDA O KWANZA ANGOLANO (AOA).
40;ANGOLA;35588987;PORTUGUES;LOCALIZADA NA EUROPA, TEM COMO MOEDA O EURO (EUR).
